x1	x2	x3	x4	x5	x6	x7
0.0	0.0	0.0	-4.932741645848047	0.0	0.0	0.0
0.0	-4.678388494700879	0.0	0.0	-4.361097380564541	-1.3866168758579285	-0.057646263400336295
-4.807309151416165	0.0	0.0	-3.9543653163675287	0.0	0.0	0.0
0.0	-4.953183958652399	0.0	0.0	-3.8093365114609345	0.0	0.0
-3.1388825165998533	0.0	-2.9383944442715344	0.0	0.0	0.0	-3.9024362902022753
0.0	0.0	-2.750096822021117	-4.06861144982411	0.0	0.0	0.0
0.0	0.0	-2.5676669653878967	0.0	-0.027419945111153865	-3.4278842017857643	0.0
0.0	0.0	0.0	0.0	0.0	-3.2466872496078474	-3.2484645278102424
0.0	-3.051961091272811	0.0	-3.3741881211474825	-0.442293077446279	-2.291250784861281	0.0
0.0	0.0	-0.5755766326164906	-3.9122733972114383	-4.750111802619355	-3.6029754043207274	0.0
